tick weight breed housing
14 518 Angus indoor
7 511 Angus indoor
6 470 Angus indoor
11 524 Angus indoor
9 527 Angus indoor
5 528 Angus outdoor
12 531 Angus indoor
8 537 Angus indoor
4 487 Angus indoor
8 506 Angus indoor
9 499 Angus indoor
15 519 Angus indoor
9 493 Angus indoor
7 528 Angus indoor
14 486 Angus outdoor
12 518 Angus outdoor
10 519 Angus indoor
8 527 Angus indoor
11 511 Angus indoor
5 544 Angus indoor
9 554 Angus indoor
14 469 Angus outdoor
11 509 Angus indoor
7 515 Angus outdoor
13 502 Angus indoor
5 514 Angus indoor
9 517 Angus indoor
7 530 Angus indoor
11 518 Angus outdoor
10 529 Angus indoor
7 478 Angus indoor
8 521 Angus indoor
11 520 Angus indoor
6 507 Angus outdoor
6 540 Angus indoor
5 552 Jersey indoor
5 582 Jersey outdoor
8 561 Jersey outdoor
4 521 Jersey indoor
9 539 Jersey outdoor
3 542 Jersey indoor
6 479 Jersey indoor
6 582 Jersey outdoor
4 521 Jersey outdoor
6 529 Jersey outdoor
4 572 Jersey indoor
10 574 Jersey outdoor
9 550 Jersey outdoor
2 536 Jersey indoor
8 568 Jersey indoor
4 529 Jersey indoor
9 535 Jersey indoor
6 569 Jersey indoor
6 573 Jersey outdoor
4 561 Jersey indoor
2 543 Jersey outdoor
8 563 Jersey indoor
4 573 Jersey indoor
7 563 Jersey outdoor
8 543 Jersey outdoor
6 543 Jersey outdoor
11 521 Jersey indoor
6 521 Jersey indoor
10 563 Jersey indoor
8 524 Jersey indoor
6 534 Jersey indoor
8 546 Jersey indoor
11 554 Jersey indoor
8 553 Jersey indoor
5 540 Jersey indoor
5 577 Jersey indoor
5 533 Jersey indoor
7 519 Jersey outdoor
3 545 Jersey indoor
5 527 Jersey indoor
2 616 Holstein outdoor
5 584 Holstein outdoor
3 597 Holstein indoor
3 601 Holstein indoor
10 588 Holstein outdoor
4 597 Holstein indoor
1 590 Holstein indoor
5 597 Holstein indoor
2 572 Holstein indoor
2 614 Holstein indoor
3 581 Holstein outdoor
0 595 Holstein indoor
2 603 Holstein indoor
5 590 Holstein indoor
3 557 Holstein indoor
2 596 Holstein indoor
3 615 Holstein indoor
3 558 Holstein indoor
2 596 Holstein indoor
5 594 Holstein indoor
3 639 Holstein outdoor
3 594 Holstein outdoor
2 605 Holstein indoor
4 645 Holstein indoor
1 624 Holstein indoor
