lamb	igel3g	tigel3
098t001	0.097	0.5580754698
098t002	0.104	0.5678823029
098t003	0.099	0.560930169
098t004	0.148	0.6202480804
098t005	0.043	0.4553728292
098t006	0.189	0.6593491506
098t008	0.024	0.3935979343
098t009	0.019	0.3712687538
098t010	0.082	0.5351228095
098t011	0.027	0.4053600464
098t012	0.13	0.6004624281
098t013	0.188	0.6584752598
098t014	0.018	0.3662841501
098t015	0.07	0.5143686724
098t016	0.099	0.560930169
098t017	0.278	0.7261246815
098t018	0.051	0.4752176299
098t020	0.122	0.5910033705
098t021	0.104	0.5678823029
098t022	0.109	0.5745880963
098t023	0.042	0.4527019056
098t024	0.18	0.6513555624
098t026	0.103	0.5665122512
098t027	0.039	0.4443919178
098t028	0.104	0.5678823029
098t030	0.044	0.4579975651
098t031	0.041	0.4499828522
098t032	0.114	0.5810670016
098t033	0.083	0.5367468731
098t034	0.23	0.6925194238
098t035	0.107	0.5719340387
098t036	0.054	0.4820570514
098t037	0.09	0.5477225575
098t038	0.289	0.7332033839
098t039	0.094	0.5537094855
098t040	0.067	0.5087667266
098t042	0.001	0.177827941
098t043	0.057	0.4886171586
098t044	0.274	0.7234985094
098t045	0.024	0.3935979343
098t046	0.019	0.3712687538
098t047	0.025	0.3976353644
098t048	0.019	0.3712687538
098t049	0.001	0.177827941
098t050	0.195	0.6645209126
098t051	0.638	0.8937275994
098t053	0.118	0.5860983542
098t054	0.006	0.2783157684
098t055	0.032	0.4229485054
098t056	0.541	0.8576287203
098t057	0.032	0.4229485054
098t058	0.068	0.5106545762
098t059	0.946	0.9862176805
098t060	0.001	0.177827941
098t061	0.028	0.4090623489
098t063	0.059	0.492848005
098t064	0.035	0.4325307727
098t068	0.004	0.2514866859
098t070	0.26	0.7140741918
098t072	0.003	0.2340347319
098t073	0.057	0.4886171586
098t074	0.048	0.4680694639
099t005	0.118	0.5860983542
099t007	0.076	0.5250533069
099t009	0.114	0.5810670016
099t016	0.313	0.7479732811
099t017	0.388	0.7892378983
099t019	0.241	0.7006550566
099t020	0.459	0.8231010797
099t021	0.672	0.9054038112
099t022	0.627	0.8898501648
099t024	0.058	0.4907462599
099t026	0.083	0.5367468731
099t027	0.594	0.8779031579
099t028	0.696	0.913381708
099t029	0.065	0.5049267033
099t031	0.151	0.6233676159
099t035	0.435	0.8121239425
099t036	0.266	0.7181586721
099t037	0.076	0.5250533069
099t040	0.305	0.7431473951
099t042	0.223	0.6871890265
099t043	0.147	0.6191976988
099t044	0.14	0.6116908849
099t046	0.045	0.4605779352
099t048	0.435	0.8121239425
099t049	0.345	0.7663987254
099t050	0.095	0.5551762784
099t051	0.053	0.4798096379
099t053	0.266	0.7181586721
099t054	0.323	0.7538772377
099t055	0.246	0.7042612233
099t056	0.153	0.6254215733
099t057	0.084	0.5383563271
099t059	0.306	0.7437557848
099t060	0.496	0.8392095534
099t061	0.076	0.5250533069
099t062	0.538	0.8564372907
099t064	0.195	0.6645209126
099t065	0.027	0.4053600464
099t066	0.157	0.6294698207
099t067	0.291	0.7344686231
099t069	0.073	0.5197933452
099t071	0.163	0.6353995473
099t072	0.302	0.7413132041
099t073	0.123	0.5922107381
099t074	0.129	0.5993043467
099t075	0.058	0.4907462599
099t076	0.194	0.6636673195
099t077	0.287	0.7319315606
099t079	0.03	0.416179145
099t080	0.256	0.711311764
099t081	0.363	0.7762053937
099t082	0.339	0.7630446023
099t083	0.584	0.8741847213
099t084	0.296	0.7376034303
100t001	0.208	0.6753296751
100t004	0.06	0.4949232004
100t006	0.063	0.5009970139
100t009	0.172	0.6439944309
100t011	0.322	0.7532930627
100t012	0.034	0.4294076026
100t013	0.059	0.492848005
100t014	0.063	0.5009970139
100t016	0.052	0.4775301928
100t018	0.054	0.4820570514
100t020	0.289	0.7332033839
100t021	0.087	0.543100013
100t022	0.052	0.4775301928
100t023	0.008	0.2990697562
100t025	0.272	0.7221746274
100t026	0.267	0.7188326838
100t027	0.386	0.7882188672
100t029	0.095	0.5551762784
100t030	0.227	0.6902500779
100t031	0.219	0.6840865137
100t032	0.047	0.4656123215
100t033	0.01	0.316227766
100t034	0.034	0.4294076026
100t035	0.096	0.5566315367
100t038	0.084	0.5383563271
100t039	0.042	0.4527019056
100t042	0.081	0.533483823
100t045	0.08	0.5318295897
100t046	0.037	0.4385816237
100t048	0.097	0.5580754698
100t051	0.066	0.5068576246
100t053	0.074	0.5215643874
100t055	0.94	0.9846501772
100t059	0.169	0.6411677595
100t062	0.095	0.5551762784
100t063	0.136	0.6072740553
100t065	0.065	0.5049267033
100t066	0.217	0.6825192949
100t068	0.413	0.8016550134
100t069	0.074	0.5215643874
100t070	0.169	0.6411677595
100t073	0.045	0.4605779352
100t078	0.13	0.6004624281
100t079	0.079	0.5301597745
100t080	0.079	0.5301597745
100t082	0.072	0.5180040128
100t083	0.094	0.5537094855
100t084	0.114	0.5810670016
100t086	0.092	0.5507404268
100t087	0.046	0.4631156507
100t088	0.142	0.6138638885
100t089	0.217	0.6825192949
100t091	0.204	0.6720592174
100t094	0.142	0.6138638885
100t094	0.042	0.4527019056
100t097	0.116	0.5835989439
100t100	0.108	0.5732656753
100t101	0.218	0.6833042523
100t104	0.192	0.6619501839
100t105	0.824	0.9527562424
100t107	0.038	0.4415154436
100t108	0.16	0.632455532
100t114	0.038	0.4415154436
100t115	0.047	0.4656123215
100t116	0.072	0.5180040128
100t119	0.137	0.608387303
100t121	0.038	0.4415154436
100t127	0.196	0.665371229
100t128	0.061	0.4969726156
100t130	0.025	0.3976353644
100t132	0.257	0.7120053892
100t134	0.03	0.416179145
100t136	0.046	0.4631156507
100t137	0.008	0.2990697562
100t140	0.033	0.4262147595
100t142	0.001	0.177827941
100t144	0.026	0.4015534273
100t145	0.067	0.5087667266
100t146	0.105	0.5692425098
100t147	0.001	0.177827941
100t149	0.105	0.5692425098
100t152	0.001	0.177827941
100t154	0.049	0.4704885081
100t155	0.152	0.6243971283
100t157	0.11	0.5759014491
100t158	0.042	0.4527019056
100t159	0.131	0.6016138474
100t160	0.042	0.4527019056
100t161	0.038	0.4415154436
100t162	0.042	0.4527019056
100t163	0.037	0.4385816237
100t164	0.144	0.6160140576
100t166	0.052	0.4775301928
100t167	0.069	0.5125217173
100t168	0.081	0.533483823
100t169	0.01	0.316227766
100t171	0.036	0.4355877175
100t172	0.054	0.4820570514
100t173	0.011	0.323853184
100t175	0.012	0.330975092
100t176	0.001	0.177827941
100t179	0.108	0.5732656753
100t180	0.021	0.3806754096
100t181	0.007	0.2892507609
