lamb	shap	dhap
098t001	11	07
098t002	11a	18
098t003	11a	18
098t004	11	13
098t005	11b	16
098t006	02	14
098t008	16	16
098t009	11a	11a
098t010	02	14
098t011	02	02
098t012	11a	04
098t013	02	09
098t014	11a	12
098t015	16	18
098t016	11a	16
098t017	16	08
098t018	02	16
098t020	16	16
098t021	11a	16
098t022	11a	11a
098t023	11a	18
098t024	11	04
098t025	11	04
098t026	02	18
098t027	02	16
098t028	11	01
098t030	02	16
098t031	11a	16
098t032	11a	16
098t033	11a	04
098t034	11a	04
098t035	11a	04
098t036	11a	04
098t037	11a	12
098t038	16	17
098t039	11a	16
098t040	11a	05
098t041	16	01
098t042	11a	13
098t043	11	12
098t044	16	16
098t045	11a	16
098t046	11a	16
098t047	11a	06
098t048	11	04
098t049	16	04
098t050	15	06
098t051	16	06
098t052	16	16
098t053	15	13
098t054	16	12
098t055	16	12
098t056	11a	16
098t057	11a	13
098t058	16	16
098t059	11a	16
098t060	15	05
098t061	11	12
098t062	15	16
098t063	16	03
098t064	15	11a
098t068	11a	13
098t070	16	11b
098t072	15	16
098t073	16	13
098t074	16	13
099t005	15	01
099t007	13	11b
099t008	15	11b
099t009	11a	16
099t016	13	13
099t017	13	01
099t019	16	16
099t020	11a	02
099t021	11a	16
099t022	12	04
099t024	13	16
099t026	11a	10
099t027	11a	19
099t028	15	15
099t029	12	11
099t031	11b	07
099t035	11a	15
099t036	12	04
099t037	13	11a
099t040	11b	16
099t042	15	12
099t043	11b	04
099t044	11a	01
099t046	11a	01
099t048	11b	04
099t049	11b	18
099t050	15	12
099t051	11b	18
099t053	15	01
099t054	13	13
099t055	13	16
099t056	15	05
099t057	13	12
099t058	15	04
099t059	15	04
099t060	13	13
099t061	13	01
099t062	11b	16
099t064	11a	09
099t065	12	09
099t066	16	03
099t067	16	03
099t068	13	04
099t069	15	17
099t071	11a	11a
099t072	16	03
099t073	16	03
099t074	16	11a
099t075	11b	02
099t076	16	02
099t077	16	11
099t078	11a	16
099t079	11a	12
099t080	11a	17
099t081	11a	07
099t082	13	16
099t083	15	?
099t084	16	13
099t085	13	16
099t086	16	13
099t087	16	?
099t088	12	13
099t091	16	13
099t092	16	12
099t093	16	13
099t094	16	13
099t096	16	11a
099t097	16	07
100t001	16	16
100t004	04	12
100t006	04	11
100t009	11a	11a
100t011	04	12
100t012	12	01
100t013	16	14
100t014	04	16
100t016	12	16
100t018	16	16
100t020	04	01
100t021	02	12
100t022	12	16
100t023	12	11b
100t025	04	11b
100t026	13	16
100t027	01	16
100t029	13	16
100t030	04	01
100t031	12	01
100t032	12	13
100t033	12	16
100t034	12	13
100t038	04	04
100t039	16	12
100t041	04	04
100t042	04	18
100t045	12	11b
100t046	12	11b
100t048	01	11b
100t050	11a	11b
100t051	04	19
100t053	04	20
100t055	01	01
100t059	13	16
100t060	04	14
100t062	13	11
100t063	13	09
100t065	04	16
100t066	16	11a
100t067	?	?
100t068	04	13
100t069	12	01
100t070	04	11a
100t073	16	01
100t078	04	04
100t079	04	09
100t080	04	16
100t082	04	07
100t083	04	07
100t084	04	16
100t085	12	16
100t086	12	16
100t087	12	17
100t088	13	02
100t089	04	04
100t093	01	16
100t094	04	16
100t097	04	?
100t100	13	11a
100t101	13	11a
100t104	01	13
100t105	01	16
100t107	13	11a
100t108	01	05
100t114	16	18
100t115	13	18
100t116	11b	16
100t119	13	13
100t121	11b	11b
100t127	04	04
100t128	04	01
100t129	?	?
100t130	16	17
100t132	13	11b
100t136	04	11a
100t137	12	17
100t139	16	19
100t142	16	13
100t145	04	04
100t146	13	01
100t147	13	16
100t149	04	11a
100t154	13	13
100t155	04	16
100t157	04	04
100t158	11	12
100t159	04	16
100t160	04	16
100t161	04	09
100t162	01	16
100t163	13	11a
100t164	13	11a
100t166	13	10
100t167	13	16
100t168	01	01
100t169	01	?
100t171	13	11a
100t172	01	13
100t173	13	14
100t175	01	02
100t176	01	02
100t179	13	04
