Degree,Frag/,m/z,EF,Struct. ID /
228,Frag,70.0652,C4H8N,Small nitrogen containing fragment ion ? often proline or ornithine derived ? most abundant fragment in all four beers
142,Loss,18.008,H2O,Water loss  - indicative of a free hydroxyl group) ? often seen in sugary structures
80,Loss,46.0053,CH2O2,Combined loss of H2O and CO ? indicative for free carboxylic acid group (COOH) ? generic substructure in amino acids and organic acids
49,"Frag,","72.0807,","C4H10N,",Aliphatic amine (NH3 loss indicates free NH2 group coupled to aliphatic chain)
,Frag,55.0546,C4H7,
25,Loss,162.0531,C5H10O5,Loss of [hexose-H2O] ? indication of hexose conjugation (for example glucose)
-,Loss,74.0002,C2H3O2,"Free CO2 + CO loss, loss part of CH2O2-loss M2M for other beers"
38,"Frag,","86.0965,","C5H12N,",Leucine related substructure (mzCloud) ? prevalent in Beer 2
,Frag,132.1016,C6H14NO2,
31,Frag,98.9839,H4O4P,Fragment ion indicative for conjugation of a phosphate group  (H4O4P)
98,"Frag,","85.0283,","C4H5O2,",Two small fragments with CO loss in between. Unclear if it points to a specific substructure.
,Frag,57.0332,C3H5O,
27,"Loss,","179.0791,","C6H13NO5,",Losses indicative of a hexose with NH2 group ? EF fits
,Loss,197.0899,C6H15NO6,
22,"Frag,","98.0600,","C5H8NO,",Fragment ions possibly indicative for N-Methyl-oxo-pyrrolidinecarboxylic acid like structure (loss of free carboxyl group)
,Frag,144.0658,C6H10NO3,
114,"Frag,","84.0442,","C4H6NO,",Fragment ions indicative for pyroglutamic acid (pyroglutamate) or lysine (MzCloud) ? structure can be formed from glutamic acid (glutamate) in the mass spectrometer as well.
,"Frag,","56.0498,","C3H6N, ",
,"Frag,","147.0760,","C5H11N2O3,",
,Frag,130.0505,C5H8NO3,
41,Loss,17.0247,NH3,Amine loss - Indicative for free NH2 group in fragmented molecule
44,Loss,36.0183,H4O2,"Double water loss, i.e., 2*H20 ? Generic feature for metabolites containing several free OH groups attached to a aliphatic chain, like sugars."
19,"Frag,","116.0712,","C5H10NO2,",Fragment and loss of [proline-H2O] - indicative for conjugated proline ? EF fits
,Loss,115.063,C5H9NO2,
29,Loss,60.021,C2H4O2,Loss possibly indicative of carboxylic acid group with 1-carbon attached.
,Loss,18.0103,H2O,
15,"Frag,","83.0604,","C4H7N2,","Imidazole group linked to a carboxylgroup through one CH2 group, i.e., like in imidazole acetic acid - Prevalent in Beer1"
,"Frag,","56.0498,","C3H6N,",
,Frag,129.0658,C5H9N2O2,
30,"Frag,","109.0288,","C6H5O2,",Fragments indicative for dihydroxylated benzene ring substructure (MzCloud) ? C6H5O2 fragment corresponds to positively charged fragment with two hydroxyl groups.
,"Frag,","81.0333,","C5H5O,",
,Frag,53.0888,C4H5,
39,"Frag,","105.0702,","C8H9,","Alkyl aromatic substructure ? indicative for aromatic ring with 2-carbon alkyl chain attached, i.e., phenylethene fragment from ethylbenzene as a result of the fragmentation process."
,"Frag,","79.0541,","C6H7,",
,"Frag,","91.0541,","C7H7,",
,Frag,"53.0388,",C4H5,
48,"Frag,","84.0808,","C5H10N,","Fragment ions indicative for pipecolic acid (pipecolate) (MzCloud) - Quite prevalent, especially in Beer2"
,"Frag,","56.0498,","C3H6N,",
,Frag,67.0546,C5H7,
